Options,Example, Explanation
,,
,nmap 10.1.1.1, Scan this IP
,nmap 10.1.1.1 10.1.1.2, Scan this IP range
,nmap 10.1.1.1/24, Scan these IPs using CIDR
--exclude,nmap 10.1.1.1/24 --exclude 10.1.1.2, Scan these IPs using CIDR excluding host '10.1.1.2'
,nmap 10.1.1.1-255,Scan these many IPs
,nmap whoareyou.com,Scan this host 
-iL,nmap -iL searchFromThisList.txt,Scan domain/IPs in these hosts

,,
-sS,nmap -sS 10.1.1.1, SYN Scan(default scan)
-sT,nmap -sS 10.1.1.1, TCP Scan(establishes 3 way handshake)
-sU,nmap -sU 10.1.1.1, UDP Scan
-sA,nmap -sA 10.1.1.1, TCP ACK Scan
-sW,nmap -sW 10.1.1.1, TCP window Scan
-sn,nmap -sn 10.1.1.1, dont Scan only discover host
-n,nmap -n 10.1.1.1, No dns resolution
-Pn,nmap -Pn 10.1.1.1, only port scanning dont scan host
-PS,nmap -PS 10.1.1.1 -PS 22-25, TCP SYN scan from ports 22 to 25
-PA,nmap -PA 10.1.1.1 -PA 22-25, TCP ACK scan from ports 22 to 25
-PU,nmap -PU 10.1.1.1 -PU 53, UDP scan on port 53
-PR,nmap -PR 10.1.1.1, ARP scan

,,
-p,nmap -p 22 10.1.1.1,scan port 22
-p,nmap -p 22-25 10.1.1.1,scan port 22 to 25
-p,nmap -p U:53 10.1.1.1,scan udp port 53
-p-,nmap -p- 10.1.1.1,scan all 65536 ports
-p100-,nmap -p100- 10.1.1.1,scan ports from 100 to 65536 
-F,nmap -F 10.1.1.1,fast scan 100 ports
--top-ports,nmap --top-ports 1000 10.1.1.1, scan top 1000 ports
,,
-sV,nmap -sV 10.1.1.1,determine version of service running on that port
-sV --version-intensity 9,nmap -sV 10.1.1.1 --version-intensity,Version accuracy level([faster]0-9[slower])
-A,nmap -A 10.1.1.1,Hail Mary (scan everything, OS traceroute, version etc)
,,
-O,nmap -O 10.1.1.1, Host OS detection using TCP/IP fingerprint
-T ,nmap -T3 10.1.1.1,Timing for scanning ([slowest]0-5[fastest])
--max-tries,nmap --max-tries 5, max number of port scan reqs
--min-rate,nmap --min-rate 100 10.1.1.1,Send minimum number of packets per second 
--max-rate,nmap --max-rate 100 10.1.1.1,Send max number of packets per second (at time firewalls block packets)
,,
-sC,nmap -sC 10.1.1.1,Scan with some default NSE scripts
--script,nmap --script=http* 10.1.1.1,scan host with all http scripts
--script-args,nmap --script=http* 10.1.1.1,scan host with all http scripts
-f,nmap 10.1.1.1 -f,fragment IP packets( sometimes useful in bypassing firewalls)
-D,nmap -D 10.1.1.250,10.1.1.251,10.1.1.252 10.1.1.1, Spoof source IP (spoofed ip is 10.1.1.250 10.1.1.251  10.1.1.252)
-g,nmap -g53 10.1.1.1,Use port number of scanning as 53
-oA,nmap -oA 10.1.1.1,writes output to grep,xml and normal file
--open,nmap --open 10.1.1.1,only list open(not 100% accurate) ports
--iflist,nmap --iflist 10.1.1.1,show all packets transferred

